Provider_Number,Facility_Name,Address,City,State,County,Profit_or_Non_Profit,Chain_Owned,Chain_Organization,No_Dialysis_Stations,Patient_Transfusion_category_text,transfusion_summary,hypercalcemia_summary,Serum_phosphorus_summary,Patient_hospitalization_category_text,Patient_Hospital_Readmission_Category,Patient_Survival_Category_Text,hospitalization_summary,hospital_readmission_summary,survival_summary,Patient_Infection_category_text,Fistula_Category_Text,fistula_summary,long_term_catheter_summary,Npcr_summary,SWR_category_text,PPPW_category_text
12533,DAVITA WALKER COUNTY DIALYSIS,260 6TH AVENUE NORTHWEST,JASPER,AL,WALKER,Profit,Yes,DAVITA,13,Worse than Expected,35,49,52,Worse than Expected,As Expected,As Expected,38,76,157,Worse than Expected,As Expected,47,47,0,Not Available,As Expected
12534,BESSEMER KIDNEY CENTER,975 9TH AVE SW,BESSEMER,AL,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,36,Worse than Expected,48,74,81,As Expected,As Expected,As Expected,52,52,229,As Expected,Worse than Expected,80,80,0,As Expected,As Expected
12525,FMC WEST MOBILE,6601 WALL STREET,MOBILE,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,20,As Expected,63,88,90,As Expected,As Expected,Better than Expected,71,93,306,Better than Expected,As Expected,90,90,0,As Expected,As Expected
12526,RCG PRINCETON,708 COTTON AVE SW,BIRMINGHAM,AL,JEFFERSON,Profit,Yes,FRESENIUS MEDICAL CARE,34,Worse than Expected,70,111,111,As Expected,As Expected,As Expected,77,111,380,Better than Expected,Worse than Expected,111,111,0,As Expected,As Expected
12527,DCI ENTERPRISE,3861 SALEM ROAD,ENTERPRISE,AL,COFFEE,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",26,As Expected,43,61,64,As Expected,As Expected,As Expected,46,43,216,As Expected,As Expected,63,63,1,Not Available,As Expected
12501,DAVITA GADSDEN DIALYSIS,409 SOUTH FIRST STREET,GADSDEN,AL,ETOWAH,Profit,Yes,DAVITA,24,As Expected,30,47,49,Worse than Expected,Worse than Expected,As Expected,37,62,176,As Expected,As Expected,49,49,0,As Expected,As Expected
12502,DAVITA TUSCALOOSA UNIVERSITY DIALYSIS,220 15TH STREET,TUSCALOOSA,AL,TUSCALOOSA,Profit,Yes,DAVITA,23,As Expected,92,131,140,As Expected,As Expected,As Expected,104,136,440,As Expected,As Expected,127,127,0,As Expected,As Expected
12505,DAVITA PDI-MONTGOMERY,1001 FOREST AVENUE,MONTGOMERY,AL,MONTGOMERY,Profit,Yes,DAVITA,18,As Expected,68,107,107,As Expected,As Expected,As Expected,76,89,323,As Expected,As Expected,82,82,0,As Expected,As Expected
12506,DAVITA DOTHAN DIALYSIS,216 GRACELAND DR.,DOTHAN,AL,HOUSTON,Profit,Yes,DAVITA,27,As Expected,60,75,79,Worse than Expected,As Expected,Worse than Expected,63,81,283,As Expected,As Expected,82,82,0,Not Available,As Expected
12507,FMC MOBILE,2620 OLD SHELL RD,MOBILE,AL,MOBILE,Profit,Yes,FRESENIUS MEDICAL CARE,24,As Expected,77,123,125,As Expected,As Expected,As Expected,88,80,374,As Expected,As Expected,126,126,0,As Expected,As Expected
